"catalog_id","japanese_name","english_name","scientific_name","taxon_group","min_depth_m","max_depth_m","depth_evidence_note","size_note","gameplay_visual_note","primary_source_url","taxonomy_source_url","image_reference_url","image_rights_note","source_checked_date"
"F027","","Brownsnout spookfish","Dolichopteryx longipes","Teleostei; Argentiniformes; Opisthoproctidae","500","2400","FishBase: bathypelagic; reported depth range 500-2400 m.","Maximum 18 cm SL reported in FishBase.","Deep body; large head; short pectorals and very long pelvic fins.","https://www.fishbase.se/summary/Dolichopteryx-longipes.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Dolichopteryx+longipes","https://www.fishbase.se/summary/Dolichopteryx-longipes.html","reference-only; rights verification required","2026-08-06"
"F028","","Barrel-eye","Opisthoproctus soleatus","Teleostei; Argentiniformes; Opisthoproctidae","300","800","FishBase: bathypelagic; reported depth range 300-800 m.","Maximum 10.5 cm SL reported in FishBase.","Dark flanks; translucent snout; barrel-like upward-facing eyes.","https://www.fishbase.se/summary/Opisthoproctus-soleatus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Opisthoproctus+soleatus","https://www.fishbase.se/summary/Opisthoproctus-soleatus.html","reference-only; rights verification required","2026-08-06"
"F029","","Velvet whalefish","Barbourisia rufa","Teleostei; Beryciformes; Barbourisiidae","120","2000","FishBase: bathydemersal; reported depth range 120-2000 m.","Maximum 39 cm TL reported in FishBase.","Velvety spinule-covered body; large mouth and projecting lower jaw.","https://www.fishbase.se/summary/Barbourisia-rufa.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Barbourisia+rufa","https://www.fishbase.se/summary/Barbourisia-rufa.html","reference-only; rights verification required","2026-08-06"
"F030","","Redmouth whalefish","Rondeletia loricata","Teleostei; Beryciformes; Rondeletiidae","100","3500","FishBase: bathypelagic; reported depth range 100-3500 m.","Maximum 11 cm SL reported in FishBase.","Small streamlined whalefish; red mouth; no spine above eye.","https://www.fishbase.se/summary/Rondeletia-loricata","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Rondeletia+loricata","https://www.fishbase.se/summary/Rondeletia-loricata","reference-only; rights verification required","2026-08-06"
"F031","","Abyssal grenadier","Coryphaenoides armatus","Teleostei; Gadiformes; Macrouridae","282","5180","FishBase: bathypelagic; reported depth range 282-5180 m.","Maximum 102 cm TL reported in FishBase.","Large head and eyes; tapered rattail body; uniformly brown with bluish abdomen.","https://www.fishbase.se/summary/Coryphaenoides-armatus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Coryphaenoides+armatus","https://www.fishbase.se/summary/Coryphaenoides-armatus.html","reference-only; rights verification required","2026-08-06"
"F032","","Roundnose grenadier","Coryphaenoides rupestris","Teleostei; Gadiformes; Macrouridae","180","2600","FishBase: bathypelagic; reported depth range 180-2600 m.","Maximum 110 cm TL reported in FishBase.","Broad rounded snout; chin barbel; brown-gray rattail with dark mouth and fins.","https://www.fishbase.se/summary/Coryphaenoides-rupestris.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Coryphaenoides+rupestris","https://www.fishbase.se/summary/Coryphaenoides-rupestris.html","reference-only; rights verification required","2026-08-06"
"F033","","Pacific grenadier","Coryphaenoides acrolepis","Teleostei; Gadiformes; Macrouridae","300","3700","FishBase: bathydemersal; reported depth range 300-3700 m.","Maximum 104 cm TL reported in FishBase.","Large head and eyes; pointed snout with tubercular scales; chin barbel; tail tapering.","https://www.fishbase.se/summary/Coryphaenoides-acrolepis.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Coryphaenoides+acrolepis","https://www.fishbase.se/summary/Coryphaenoides-acrolepis.html","reference-only; rights verification required","2026-08-06"
"F034","","Roughhead grenadier","Macrourus berglax","Teleostei; Gadiformes; Macrouridae","100","1000","FishBase: benthopelagic; reported depth range 100-1000 m.","Maximum 110 cm TL reported in FishBase.","Pointed snout; small inferior mouth; long tapering tail; gray coloration.","https://www.fishbase.se/summary/Macrourus-berglax.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Macrourus+berglax","https://www.fishbase.se/summary/Macrourus-berglax.html","reference-only; rights verification required","2026-08-06"
"F035","","Blue antimora","Antimora rostrata","Teleostei; Gadiformes; Moridae","350","3000","FishBase: bathypelagic; reported depth range 350-3000 m.","Maximum 75 cm SL reported in FishBase.","Cod-like body; relatively long snout; deep-water blue-gray silhouette.","https://www.fishbase.se/summary/Antimora-rostrata.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Antimora+rostrata","https://www.fishbase.se/summary/Antimora-rostrata.html","reference-only; rights verification required","2026-08-06"
"F036","","Common mora","Mora moro","Teleostei; Gadiformes; Moridae","50","2500","FishBase: bathypelagic; reported depth range 50-2500 m.","Maximum 80 cm TL reported in FishBase.","Cod-like body; big eyes; gray coloration; anal fin deeply indented.","https://www.fishbase.se/summary/Mora-moro.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Mora+moro","https://www.fishbase.se/summary/Mora-moro.html","reference-only; rights verification required","2026-08-06"
"F037","","Orange roughy","Hoplostethus atlanticus","Teleostei; Trachichthyiformes; Trachichthyidae","180","1809","FishBase: bathypelagic; reported depth range 180-1809 m.","Maximum 75 cm TL reported in FishBase.","Short deep bright brick-red body; bluish-black mouth and gill cavity.","https://www.fishbase.se/summary/Hoplostethus-atlanticus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Hoplostethus+atlanticus","https://www.fishbase.se/summary/Hoplostethus-atlanticus.html","reference-only; rights verification required","2026-08-06"
"F038","キンメダイ","Splendid alfonsino","Beryx splendens","Teleostei; Beryciformes; Berycidae","25","1300","FishBase: benthopelagic; reported depth range 25-1300 m.","Maximum 70 cm TL reported in FishBase.","Deep large red-orange body; large eyes; prominent spiny dorsal fin.","https://www.fishbase.se/summary/Beryx-splendens.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Beryx+splendens","https://www.fishbase.se/summary/Beryx-splendens.html","reference-only; rights verification required","2026-08-06"
"F039","","Black scabbardfish","Aphanopus carbo","Teleostei; Scombriformes; Trichiuridae","200","2300","FishBase: bathypelagic; reported depth range 200-2300 m.","Maximum 151 cm TL reported in FishBase.","Extremely long black or coppery cutlassfish body; fanged snout; long dorsal fin.","https://www.fishbase.se/summary/Aphanopus-carbo.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Aphanopus+carbo","https://www.fishbase.se/summary/Aphanopus-carbo.html","reference-only; rights verification required","2026-08-06"
"F040","","Blob sculpin","Psychrolutes phrictus","Teleostei; Perciformes/Cottoidei; Psychrolutidae","500","2800","FishBase: bathydemersal; reported depth range 500-2800 m.","Maximum 70 cm TL reported in FishBase.","Soft-bodied blob sculpin; many small cirri on head and body; pale peritoneum.","https://www.fishbase.se/summary/Psychrolutes-phrictus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Psychrolutes+phrictus","https://www.fishbase.se/summary/Psychrolutes-phrictus.html","reference-only; rights verification required","2026-08-06"
"F041","","Humpback anglerfish","Melanocetus johnsonii","Teleostei; Lophiiformes; Melanocetidae","100","4500","FishBase: bathypelagic; reported depth range 100-4500 m.","Maximum 18 cm TL for female and 2.9 cm for male reported in FishBase.","Short deep female; head lure (illicium and esca); skin covered with minute spines; tiny male.","https://www.fishbase.se/summary/Melanocetus-johnsonii.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Melanocetus+johnsonii","https://www.fishbase.se/summary/Melanocetus-johnsonii.html","reference-only; rights verification required","2026-08-06"
"F042","","Atlantic footballfish","Himantolophus groenlandicus","Teleostei; Lophiiformes; Himantolophidae","200","1830","FishBase reports maximum depth 1830 m and usual depth 200-800 m; 200 m is a gameplay minimum.","Maximum 60 cm SL for female and 4 cm for male reported in FishBase.","Short deep football-like female; thick lure stalk and terminal esca; tiny male.","https://www.fishbase.se/summary/Himantolophus-groenlandicus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Himantolophus+groenlandicus","https://www.fishbase.se/summary/Himantolophus-groenlandicus.html","reference-only; rights verification required","2026-08-06"
"F043","","","Linophryne arborifera","Teleostei; Lophiiformes; Linophrynidae","200","1000","FishBase: bathypelagic; reported depth range 200-1000 m.","Maximum 7.7 cm SL for female reported in FishBase.","Tiny female deep-sea angler; head lure with complex appendages; strong sex dimorphism.","https://www.fishbase.se/summary/Linophryne-arborifera.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Linophryne+arborifera","https://www.fishbase.se/summary/Linophryne-arborifera.html","reference-only; rights verification required","2026-08-06"
"F044","","Kroyer's deep-sea angler fish","Ceratias holboelli","Teleostei; Lophiiformes; Ceratiidae","400","4400","FishBase: bathypelagic; reported depth range 400-4400 m.","Maximum 120 cm TL for female and 16 cm for male reported in FishBase.","Warty deep-sea angler; luminous lure; very large female versus tiny male.","https://www.fishbase.se/summary/Ceratias-holboelli.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Ceratias+holboelli","https://www.fishbase.se/summary/Ceratias-holboelli.html","reference-only; rights verification required","2026-08-06"
"F045","","Rabbit fish","Chimaera monstrosa","Holocephali; Chimaeriformes; Chimaeridae","40","1400","FishBase: bathydemersal; reported depth range 40-1400 m.","Maximum 150 cm TL reported in FishBase.","Elongate chimaera; large pectoral fins; single sharp dorsal spine; long tapering tail.","https://www.fishbase.se/summary/Chimaera-monstrosa.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Chimaera+monstrosa","https://www.fishbase.se/summary/Chimaera-monstrosa.html","reference-only; rights verification required","2026-08-06"
"F046","","Spotted ratfish","Hydrolagus colliei","Holocephali; Chimaeriformes; Chimaeridae","0","913","FishBase: bathydemersal; reported depth range 0-913 m.","Maximum 100 cm TL reported in FishBase.","Blunt snout; brown or reddish-brown body with small white spots; dorsal spine.","https://www.fishbase.se/summary/Hydrolagus-colliei.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Hydrolagus+colliei","https://www.fishbase.se/summary/Hydrolagus-colliei.html","reference-only; rights verification required","2026-08-06"
"F047","","Pacific longnose chimaera","Harriotta raleighana","Holocephali; Chimaeriformes; Rhinochimaeridae","200","3100","FishBase: bathydemersal; reported depth range 200-3100 m.","Maximum 120 cm OT (tail filament excluded) reported in FishBase.","Very long pointed snout; low first dorsal fin; large fleshy clasper in male; tail filament excluded from length.","https://www.fishbase.se/summary/Harriotta-raleighana.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Harriotta+raleighana","https://www.fishbase.se/summary/Harriotta-raleighana.html","reference-only; rights verification required","2026-08-06"
"F048","","Velvet belly","Etmopterus spinax","Elasmobranchii; Squaliformes; Etmopteridae","70","2490","FishBase: bathydemersal; reported depth range 70-2490 m.","Maximum 60 cm TL reported in FishBase.","Slender black lantern shark; light-producing organs on belly; dorsal spines.","https://www.fishbase.se/summary/Etmopterus-spinax.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Etmopterus+spinax","https://www.fishbase.se/summary/Etmopterus-spinax.html","reference-only; rights verification required","2026-08-06"
"F049","","Dwarf lantern shark","Etmopterus perryi","Elasmobranchii; Squaliformes; Etmopteridae","230","530","FishBase: pelagic-oceanic; reported depth range 230-530 m.","Maximum 20 cm TL for female and 17 cm for male reported in FishBase.","Very tiny shark; flattened head and snout; bold light-dark pattern and spots.","https://www.fishbase.se/summary/Etmopterus-perryi.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Etmopterus+perryi","https://www.fishbase.se/summary/Etmopterus-perryi.html","reference-only; rights verification required","2026-08-06"
"F050","","Black dogfish","Centroscyllium fabricii","Elasmobranchii; Squaliformes; Etmopteridae","180","2250","FishBase reports usual bathydemersal depth of 180-2250 m.","Maximum 107 cm TL reported in FishBase.","Uniformly black adult shark; luminescent skin organs; young have white fin margins.","https://www.fishbase.se/summary/Centroscyllium-fabricii.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Centroscyllium+fabricii","https://www.fishbase.se/summary/Centroscyllium-fabricii.html","reference-only; rights verification required","2026-08-06"
"F051","","Portuguese dogfish","Centroscymnus coelolepis","Elasmobranchii; Squaliformes; Somniosidae","128","3700","FishBase: bathydemersal; reported depth range 128-3700 m.","Maximum 121 cm TL reported in FishBase.","Dark sleeper shark; concave skin denticles; dorsal fin spines.","https://www.fishbase.se/summary/Centroscymnus-coelolepis.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Centroscymnus+coelolepis","https://www.fishbase.se/summary/Centroscymnus-coelolepis.html","reference-only; rights verification required","2026-08-06"
"F052","ニシオンデンザメ","Greenland shark","Somniosus microcephalus","Elasmobranchii; Squaliformes; Somniosidae","0","2992","FishBase: benthopelagic; reported depth range 0-2992 m.","Maximum 550 cm TL for female reported in FishBase; larger historical reports need separate verification.","Huge heavy-bodied gray-brown sleeper shark; small low dorsals; rounded snout.","https://www.fishbase.se/summary/Somniosus-microcephalus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Somniosus+microcephalus","https://www.fishbase.se/summary/Somniosus-microcephalus.html","reference-only; rights verification required","2026-08-06"
"F053","ラブカ","Frilled shark","Chlamydoselachus anguineus","Elasmobranchii; Hexanchiformes; Chlamydoselachidae","0","1570","FishBase: bathydemersal; reported depth range 0-1570 m.","Maximum 200 cm TL reported in FishBase.","Eel-like shark; frilled gill openings around throat; single dorsal fin set far back.","https://www.fishbase.se/summary/Chlamydoselachus-anguineus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Chlamydoselachus+anguineus","https://www.fishbase.se/summary/Chlamydoselachus-anguineus.html","reference-only; rights verification required","2026-08-06"
"F054","ミツクリザメ","Goblin shark","Mitsukurina owstoni","Elasmobranchii; Lamniformes; Mitsukurinidae","30","1300","FishBase: bathydemersal; reported depth range 30-1300 m.","Maximum 617 cm TL reported in FishBase.","Long flat blade-like snout; soft pinkish body; protrusible jaws with long teeth.","https://www.fishbase.se/summary/Mitsukurina-owstoni.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Mitsukurina+owstoni","https://www.fishbase.se/summary/Mitsukurina-owstoni.html","reference-only; rights verification required","2026-08-06"
"F055","","False catshark","Pseudotriakis microdon","Elasmobranchii; Carcharhiniformes; Pseudotriakidae","173","1890","FishBase: bathydemersal; reported depth range 173-1890 m.","Maximum 295 cm TL for female and 269 cm for male reported in FishBase.","Large dark brown-gray shark; very small lower caudal lobe; many small teeth.","https://www.fishbase.se/summary/Pseudotriakis-microdon.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Pseudotriakis+microdon","https://www.fishbase.se/summary/Pseudotriakis-microdon.html","reference-only; rights verification required","2026-08-06"
"F056","","Bluntnose sixgill shark","Hexanchus griseus","Elasmobranchii; Hexanchiformes; Hexanchidae","0","2500","FishBase: bathydemersal; reported depth range 0-2500 m.","Maximum 600 cm TL reported in FishBase.","Large gray shark; six gill slits; broad head and single dorsal fin set rearward.","https://www.fishbase.se/summary/Hexanchus-griseus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Hexanchus+griseus","https://www.fishbase.se/summary/Hexanchus-griseus.html","reference-only; rights verification required","2026-08-06"
